"code","message","type","context","selector"
"WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2","Check that the title element describes the document.","notice","<title>Langport Surgery for patients a...</title>","html > head > title"
"WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2","The html element should have a lang or xml:lang attribute which describes the language of the document.","error","<html data-wf-site=\"568cf2c5e67cc16a7441b30b\" data-wf-page=\"571e16dc75e0008b09b237ad\" class=\"wf-inactive w-mod-js w-mod-touch w-mod-no-video w-mod-no-ios\" style=\"height: 100%;\"><head>\n  <meta charset=\"utf-8\">...</html>","html"
"WCAG2AAA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","error","<iframe id=\":2.container\" class=\"goog-te-banner-frame skiptranslate\" frameborder=\"0\" src=\"javascript:''\" style=\"visibility:visible\"></iframe>","#:2.container"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","error","<a href=\"index.htm\" class=\"header-logo langport w-inline-block\"><img src=\"images/langport_title...</a>","#header > div > div > div:nth-child(1) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"index.htm\" class=\"header-logo langport w-inline-block\"><img src=\"images/langport_title...</a>","#header > div > div > div:nth-child(1) > a"
"WCAG2AAA.Principle1.Guideline1_1.1_1_1.G73,G74","If this image cannot be fully described in a short text alternative, ensure a long text alternative is also available, such as in the body text or through a link.","notice","<img src=\"images/langport_title.jpg\" class=\"heading_langport_logo\">","#header > div > div > div:nth-child(1) > a > img"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"ooh.htm\">Click here</a>","#header > div > div > div:nth-child(2) > div > p:nth-child(2) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a href=\"ooh.htm\">Click here</a>","#header > div > div > div:nth-child(2) > div > p:nth-child(3) > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"navlinks w-nav-link\" href=\"https://www.langportsurgery.co.uk/index.htm\" style=\"max-width: 940px;\">Home</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > a"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"appointments.htm\">Appointments Advice</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(2) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"appointments_online.htm\">Online Appointments</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(2) > nav > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"home_visits.htm\">Home Visits</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(2) > nav > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"improved_access.htm\">Improved Access</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(2) > nav > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"text_reminder.htm\">Text Reminder Service</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(2) > nav > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"prescriptions.htm\">Prescriptions Advice</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(3) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"prescriptions_online.htm\">Online Prescriptions</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(3) > nav > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"dispensing.htm\">Dispensing Patients</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(3) > nav > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"urgent_doctor.htm\">Call a Doctor Urgently</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"emergency.htm\">Emergencies</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"medicine_cabinet.htm\">Medicine Cabinet</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"ooh.htm\">Out of Hours Service</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"preventative_medicine.htm\">Preventative Medicine</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"self_help.htm\">Self Help Treatments</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"young_advice.htm\">Young People</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(4) > nav > a:nth-child(7)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"accessible_information_standard.htm\">Accessible Information Standard</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"caring_for_others.htm\">Caring for Others</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"disabled.htm\">Disabled Facilities</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"helpful_numbers.htm\">Helpful Telephone Numbers</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"how_to_register.htm\">How to Register</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"friends.htm\">Friends of the Surgery</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"friends_online.htm\">Online Reference Group</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(7)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"pils.htm\">Patient Information Leaflets</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(8)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"private_medical_services.htm\">Private Charges</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"recruitment.htm\">Recruitment</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(10)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"special_interests.htm\">Special Interests</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(11)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"newsletter.htm\">Surgery Newsletter</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(12)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"useful_websites.htm\">Useful Websites</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(13)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"visitors.htm\">Visitor Information</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(14)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"web_accessibility.htm\">Website Accessibility</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(5) > nav > a:nth-child(15)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"clinics.htm\">Clinics</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(6) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"home_visits.htm\">Home Visits</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(6) > nav > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"immunisations.htm\">Immunisations</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(6) > nav > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"test_results.htm\">Test Results</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(6) > nav > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"travel_advice.htm\">Travel Advice</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(6) > nav > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"doctors.htm\">GP Team</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"nurses.htm\">Nursing Team</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(2)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"practice_management.htm\">Practice Management</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(3)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"practice_staff.htm\">Practice Staff</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(4)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"dispensary_team.htm\">Dispensary Team</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(5)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"other_clinical_team.htm\">Other Clinical Team</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(6)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"health_visitors.htm\">Health Visitors</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(7)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"community_midwives.htm\">Community Midwives</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(8)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"district_nurses.htm\">District Nurses</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(7) > nav > a:nth-child(9)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"complaints.htm\">Complaints Procedure</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(8) > nav > a:nth-child(1)"
"WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30","Check that text of the link describes the purpose of the link.","notice","<a class=\"drop_link w-dropdown-link\" href=\"confidentiality.htm\">Confidentiality</a>","html > body > div:nth-child(3) > div > div > div:nth-child(1) > nav > div:nth-child(8) > nav > a:nth-child(2)"
